Kategorie,Produkt,Einzeln (€),Kiste inkl. aller Flaschen (€)
Bier,"Bierflasche 0,5l",0.20,
Bier,"Bierkiste 0,5l (LogiPack, Gösser, Stiegl, Puntigamer, Egger) 20er leer",3.00,7.00
Alkoholfreie Getränke,Römerquelle 1l,0.29,
Alkoholfreie Getränke,Splitkiste Römerquelle 1l 6er leer,2.00,3.74
Alkoholfreie Getränke,Splitkiste Römerquelle 1l 12er leer,4.00,7.48
Alkoholfreie Getränke,Coca Cola 1l,0.29,
Alkoholfreie Getränke,Splitkiste Coca Cola 1l 6er leer,2.00,3.74
Alkoholfreie Getränke,Splitkiste Coca Cola 1l 12er leer,4.00,7.48
Alkoholfreie Getränke,Kiste Coca Cola 1l 12er leer,3.00,6.48
Alkoholfreie Getränke,Normflasche 1l,0.29,
Alkoholfreie Getränke,Normkiste 1l 6er leer,3.00,4.74
Alkoholfreie Getränke,Exklusivmarken-Flasche 1l,0.29,
Alkoholfreie Getränke,Exklusivmarken-Kiste 1l 6er leer,3.00,4.74
Molkerei,Milchflasche 1l,0.22,
Molkerei,Milchkiste 1l 6er leer,5.50,6.82
Molkerei,Joghurtglas,0.17,
Einweg,Kunststoffflaschen,0.25,
Einweg,Metalldosen,0.25,
