"Bierflasche Longneck 0,33 Liter","0,36"
"Bierflasche 0,5 Liter oder 0,33 Liter","0,20"
"Bierflasche Bügelflasche 0,5 Liter","0,36"
"Bierflasche Bügelflasche 0,33 Liter","0,36"
"Bierkiste 20 x 0,5 Liter","7,-"
"Bierkiste 20 x 0,33 Liter","7,-"
"Bierkiste 24 x 0,33 Liter","7,80"
"Bierkiste 12 x 0,33 Liter","5,40"
Kiste Gasteiner 6 x 1 Liter,"4,74"
Kiste 12 x 1 Liter (AF-Getränke),"6,48"
Kiste Vöslauer 9 x 1 Liter (PET-Flasche),"5,61"
Kiste Vöslauer 8 x 1 Liter,"6,32"
Kiste Vöslauer 4 x 1 Liter,"3,16"
Getränkeflasche 1 Liter (AF),"0,29"
Römerquelle Splitbox 6er,"3,74"
Römerquelle Splitbox 12er,"7,48"
"Kiste leer (20 x 0,5 Liter, 6 x 1 Liter, 12 x 1 Liter, 12 x 0,33 Liter, 24 x 0,33 Liter)","3,-"
Kiste Bügelflasche leer 6 x 2 Liter,"3,-"
Kiste Bügelflasche 6 x 2 Liter,"8,10"
"Kiste Bügelflasche leer 20 x 0,5 Liter","3,-"
"Kiste Bügelflasche 20 x 0,5 Liter","10,20"
Bügelflasche 2 Liter,"0,85"
Landliebe Joghurtglas 500 g,"0,17"
"Fruchtsaftflaschen/AF-Getränke: 0,2 Liter, 0,25 Liter oder 0,33 Liter","0,14"
Bierfass 25 Liter oder 50 Liter,"36,-"
Milch-Glasflasche 1 Liter,"0,22"
Original Mostflasche,"0,55"
